POPULATION;NOIND;transport_personnel;transport_ecole;tv_score;tv_duree;jvideo_score;jvideo_duree;ordi_score;ordi_duree;jeux_pleinair_nbjours;enfant_actif;eps_ouinon;eps_nbjours;eps_duree;club_nbjours;club_nb;activite_musculation_nbjours;activite_moderee_nbjours;activite_intense_nbjours;escalier_score;emploi_4sem;travail_freq_semaine;travail_duree;travail_score;transport_voiture_score;transport_public_score;transport_velo_score;transport_pied_score;transport_score;activite_balayer_score;activite_nettoyer_score;activite_aspirateur_score;activite_repasser_score;activite_vaisselle_score;activite_lessive_score;activite_jardiner_score;activite_tondre_score;activite_arroser_score;activite_becher_score;activite_bricoler_score;activite_marche_score;activite_piscine_score;activite_velo_score;activite_roller_score;activite_danse_salon_score;activite_bowling_score;activite_billard_score;activite_peche_score;activite_chasse_score;activite_loisirs_assis_score;activite_loisirs_debout_score;activite_randonnee_score;activite_jogging_score;activite_natation_score;activite_yoga_score;activite_rameur_score;activite_aerobic_score;activite_danse_moderne_score;activite_cyclisme_score;activite_tennis_score;activite_boxe_score;activite_escrime_score;activite_haltere_score;activite_athletisme_score;activite_ski_score;activite_voile_score;activite_canoe_score;activite_equitation_score;activite_golf_score;activite_tir_score;activite_moto_score;activite_musique_score;activite_ping_pong_score;activite_gym_score;activite_escalade_score;activite_alpinisme_score;activite_foot_score;activite_rugby_score;activite_basket_score;activite_hand_score;activite_volley_score;activite_hockey_score;activite_domloissport_duree;activite_domloissport_score;activite_moderee_score;activite_intense_score;activite_total_duree;activite_total_score;nap;profil_activite;sedentarite;sedentarite_duree
Pop1 Individu;626203001;;2;;3.7142859;;1;;0;;;;2;3;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;
Pop1 Individu;626600401;;1;;2.2142859;;.28571427;;1.2857144;;;;1;3;;0;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;
Pop1 Individu;626802501;;;;8;;1;;5;;;;;;;1;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;
Pop1 Individu;626802601;;2;;.61904758;;.35714287;;2.8571429;;;;1;5;;0;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;1;
Pop1 Individu;627301601;;2;;.64285719;;1.2857144;;.28571427;;;;1;3;;3;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;0;
Pop1 Individu;627404801;;;;2;;1;;.083333336;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;
Pop1 Individu;627406601;;2;;1.9285715;;.92857146;;0;4;1;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;
Pop1 Individu;627509401;;2;;0;;0;;0;1;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;
Pop1 Individu;628401901;;2;;1.6428571;;0;;.5;;;;1;5;;2;0;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;
Pop1 Individu;628602601;;1;;.14285713;;.14285713;;.2142857;7;1;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;
Pop1 Individu;629206201;;4;;1;;0;;.28571427;;;;2;3;;2;;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;0;
Pop1 Individu;629206501;;3;;.4285714;;.45238096;;0;2;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;
Pop1 Individu;629207001;;;;1;;0;;2.5;;;;;;;1;0;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;
Pop1 Individu;629207401;;;;2;;0;;0;;1;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;0;
Pop1 Individu;629306701;;3;;.5;;.28571427;;2.5714288;;;;2;5;;2;;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;1;
Pop1 Individu;720701701;;1;;.85714281;;.85714281;;1.2857144;2;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;
Pop1 Individu;721102801;;1;;2.2857141;;0;;0;4;3;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;
Pop1 Individu;722104101;;2;;.17857143;;7.1428576;;.80952382;;;;1;2;;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;
Pop1 Individu;722202001;;2;;2.6428571;;1.4380952;;0;;;;2;4;;1;;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;1;
Pop1 Individu;722504401;;1;;1.2857144;;0;;.71428573;;;;2;4;;1;2;2;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;0;
Pop1 Individu;722703001;;;;2;;2;;2;;;;;;;1;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;
Pop1 Individu;723402601;;3;;1.7857144;;0;;0;0;2;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;
Pop1 Individu;723403101;;1;;.89285719;;0;;0;4;1;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;
Pop1 Individu;723503101;;3;;.85714281;;.85714281;;1.6428571;;;;2;5;;3;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;
Pop1 Individu;724403601;;;;1.5;;0;;10;;;;;;;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;
Pop1 Individu;724903501;;3;;.64285719;;0;;0;7;1;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;0;
Pop1 Individu;725702501;;2;;0;;.85714281;;2.3571429;;;;0;1;;1;0;5;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;1;
Pop1 Individu;726804001;;1;;.52380955;;0;;0;7;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;
Pop1 Individu;726804601;;1;;.92857146;;0;;1;2;1;3;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;0;
Pop1 Individu;726902701;;3;;.4285714;;0;;0;;;;2;2;;2;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;0;
Pop1 Individu;727404901;;1;;2.5714288;;1.8571429;;2;;;;2;5;;1;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;
Pop1 Individu;727406201;;;;4;;0;;2;;;;;;;1;0;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;
Pop1 Individu;727604101;;2;;3.6428571;;0;;3.8571429;;;;2;4;;0;0;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;2;
Pop1 Individu;727701401;;0;;2.1428571;;0;;2;;;;0;1;;1;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;
Pop1 Individu;728001501;;;;0;;0;;0;;;;;;;0;0;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;
Pop1 Individu;728604001;;1;;1.2857144;;0;;.28571427;2;1;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;
Pop1 Individu;729206901;;;;2;;0;;6;;;;;;;2;0;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;
Pop1 Individu;729307501;;3;;1.2857144;;0;;0;;;;0;1;;1;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;0;
Pop1 Individu;729407101;;2;;1.5714285;;.4285714;;1;;;;3;5;;1;;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;1;
Pop1 Individu;821203701;;2;;1.7857144;;3;;.25;;;;0;1;;2;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;
Pop1 Individu;821306001;;3;;1.5;;0;;.11904762;7;1;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;0;
Pop1 Individu;821403901;;;;2.5;;.75;;1;;1;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;
