POPULATION;NOIND;conso_gpe1;conso_gpe2;conso_gpe3;conso_gpe4;conso_gpe5;conso_gpe6;conso_gpe7;conso_gpe8;conso_gpe9;conso_gpe10;conso_gpe11;conso_gpe12;conso_gpe13;conso_gpe14;conso_gpe15;conso_gpe16;conso_gpe17;conso_gpe18;conso_gpe19;conso_gpe20;conso_gpe21;conso_gpe22;conso_gpe23;conso_gpe24;conso_gpe25;conso_gpe26;conso_gpe27;conso_gpe28;conso_gpe29;conso_gpe30;conso_gpe31;conso_gpe32;conso_gpe33;conso_gpe34;conso_gpe35;conso_gpe36;conso_gpe37;conso_gpe38;conso_gpe39;conso_gpe40;conso_gpe41;conso_gpe42;conso_gpe43;conso_gpe44
Pop3;121100501;101.89286;0;0;0;0;71.071426;0;28.571432;7.1428566;21.428572;0;.89285707;7.5714283;0;0;0;16.857141;0;1.7857141;0;138.53571;0;84.928566;108.92143;24.285715;1.7857141;61.071426;0;0;490;250.50716;194.99998;0;246.73811;0;35.714283;53.571426;0;32.000004;110.42857;2.9392858;0;0;0
Pop3;121101901;91.499992;0;14.285713;0;0;76.785713;494.76187;82.14286;0;79.464287;0;0;1.8485717;0;21.428572;35.14286;0;25.142859;0;0;5.7142863;59.642853;0;0;0;0;12.285716;0;0;521.78577;0;0;0;0;0;10.714286;0;0;8.9285707;58.928574;.71428567;0;0;0
Pop3;121102401;68.812492;12.439288;14.285713;36.714287;0;13.485715;90.535706;101.78572;49.642857;0;72.934288;3.3986928;11.878215;0;0;0;76.214287;0;0;13.571427;29.5;0;36.428574;114.42857;0;0;8.9285707;16.664988;323.4375;690.17859;0;0;0;225.94585;126.25;35.714283;0;38.214283;0;60.000004;5.9285717;0;0;0
Pop3;121200201;138.23;0;10.714286;0;0;47.80357;0;35.714283;16.071428;81.071434;0;14.941853;4.0428572;0;41.589287;36.42857;39.214287;0;0;0;160.5;0;49.871429;290.18857;0;0;32.223488;7.1428571;0;625;0;293.42859;0;85.714287;156.30952;0;0;0;0;78.348213;8.2742853;0;0;0
Pop3;121200301;98.571426;0;0;85.714287;0;81.64286;0;215.35715;44.857143;0;0;2.1714284;12.448571;0;65.714279;28.571426;41.642857;0;0;0;334.42859;0;73.571426;246.07501;0;0;43.298664;10;0;1816.0714;0;0;0;0;184.60715;0;0;63.571426;0;0;23.872858;0;0;0
Pop3;121200401;36.196426;0;24.000002;25;0;66.839287;58.857136;64.285713;34;0;0;5.1358032;7.1092854;59.285709;17.857141;0;61.214287;0;0;0;18.285713;0;89.285713;95.832855;35.714283;1.1428572;6.25;8.9821424;0;988.48212;288.27008;120.52857;0;0;0;0;0;36.734699;24.285713;98.571426;9.2285719;0;0;0
Pop3;121200501;11.75;5.375;12.857142;0;0;6.2857141;66.214279;89.285713;17.5;0;0;1.7857141;.86582136;0;33.010715;0;0;0;0;0;76.443413;10.714286;10.714286;168.90073;32.142857;4.2857141;2.1428573;3.435714;0;261.42856;0;86.914284;0;0;0;0;0;3.5714283;164.23215;32.67857;0;125.07143;0;0
Pop3;121201001;13.028572;0;7.1428566;16.428572;0;74.79464;0;94.64286;12.057144;0;21.535715;0;5.2199998;0;37.142857;12.142857;0;0;0;0;47.142857;0;54.57143;192.21608;90;0;7.8000002;2.6678572;392.85712;189.28572;88.375;123.80951;0;540.97357;194.78572;0;0;0;0;0;6.75;0;0;0
Pop3;121201301;84.64286;0;34.285717;38.214283;0;38.57143;0;89.285713;0;0;41.714283;11.822285;4.5857143;0;153.48215;0;0;0;0;0;292.96426;54.000004;38.214283;0;35.714283;0;29.328573;4.1785712;0;218.57144;187.98096;0;0;248.31525;0;0;0;58.214283;107.14285;145.35715;8.9285717;0;0;0
Pop3;121201501;27.299999;0;0;157.14284;0;68.571426;0;99.999992;48.92857;89.285713;0;0;7.6571431;0;0;51.42857;0;0;0;0;80.714279;0;60.000004;29.699999;0;0;12.696282;0;0;414.64285;34.285717;82.178566;0;0;523.03571;20.357141;0;0;0;41.071426;61.229763;0;0;0
Pop3;121201801;110.01714;0;0;123.92857;0;28.853813;0;114.28571;29.1;35.714291;26.321428;11.785714;2.9285715;6.0714283;79.821426;0;75;0;0;0;140;88.000008;0;102.38213;0;0;0;47.37281;0;485.71429;0;124.8;0;249.8;0;0;0;0;0;28.340242;12.992859;0;0;0
Pop3;121203501;65.35714;0;0;147.14285;0;49.07143;233.2674;0;0;0;14.914288;.98214287;5.2607145;8.9285707;0;0;162.5;62.5;0;0;44.642857;0;0;1.5892855;107.14285;0;26.099998;5.0885715;0;458.57144;172.62857;0;0;0;107.14285;19.141537;0;0;89.285713;147.57144;0;0;0;0
Pop3;121300301;106.42857;10.75;0;107.78572;0;116.78571;0;89.285713;0;0;29.828575;0;2.017143;0;83.035713;36.42857;0;59.14286;0;0;208.02856;0;16.428572;221.74571;0;0;0;0;160.00002;1470.8928;0;258.97858;0;208.33331;0;0;0;0;0;62.857147;33.714287;0;0;0
Pop3;121300401;176.14799;0;46.42857;39.642857;0;25.714285;407.77145;71.428566;20.714285;0;17.802858;31.996733;0;17.857141;21.428572;0;17.142859;0;0;0;96.071426;0;0;163.93927;32.142857;0;26.785711;33.169922;178.57143;267.14285;0;211.71429;0;0;43.285717;0;0;0;0;165.4212;14.980001;28.571432;0;0
Pop3;121300701;34.75;0;21.42857;54.910717;0;22.857145;0;133.92857;10.708571;0;0;2.0785716;0;0;60.114285;44.642853;0;14.285713;0;0;48.92857;0;16.428572;99.095718;35.714283;0;1.7142859;2.0892856;75;603.03577;101.14286;283.02856;0;181.62856;0;0;0;38.214283;0;19.148811;2.1785712;0;0;0
Pop3;121301101;76.186249;0;0;39.285713;47.714291;132.74884;0;110.71429;62.57143;60.714283;0;4.1571431;2.7815714;0;0;35.714283;1.3714288;33.92857;0;0;56.07143;0;0;314.95142;0;25.714287;61.322521;21.785713;0;466.96429;232.36191;20.800001;0;233.80954;169.29524;0;0;75;21.428572;87.442566;0;0;0;0
Pop3;121301201;5.6249995;15.745536;61.285717;24.285713;19.428574;77.14286;0;80.357147;33.041168;32.142857;0;7.7999997;1.0514287;33.714291;7.1428566;4.7619047;0;17.142859;0;0;123.875;0;0;199.86858;64.285713;0;0;7.6607137;0;507.14285;0;0;0;0;0;17.857141;0;85.714287;39.285713;0;12.472143;360.5;0;0
Pop3;121301501;409.46429;0;0;299.28571;0;0;0;0;45;14.285716;28.714285;0;20.124287;91.714287;0;29.14286;17.142859;33.92857;0;0;126.5763;0;65.014282;76.217155;189.64285;0;22.685713;0;0;1200.5356;63.846432;72.428574;0;315.32739;0;0;65.714294;0;0;21.523438;79.785713;0;0;0
Pop3;121302201;69.75;0;0;12.142857;0;88.428574;0;0;14.285713;0;0;0;3.3551781;32.5;71.23214;0;0;0;0;0;8.5714293;0;25;29.699999;0;0;18.357143;0;0;686.25;151.71429;0;0;0;0;0;0;0;0;285.35715;11.071428;0;0;0
Pop3;121302301;102.64286;0;0;25;0;47.853996;0;152.5;0;0;0;9.3928566;4.8628569;0;44.285717;34.594997;28.928572;0;0;0;57.5;28.571432;63.92857;0;0;0;71.457603;0;0;366.42859;0;287.48569;0;0;0;28.571426;0;0;0;20;27.057142;0;0;0
Pop3;121302701;233.10001;0;20;15.428573;0;6.4285717;247.19998;17.857145;72.142853;300;0;8.7285709;2.1028574;7.142858;17.142859;54.285709;0;0;0;0;33.121433;0;0;116.63142;85.85714;0;0;4.8571424;0;948.21429;63.846432;0;0;0;0;0;0;0;45;30.14286;34.114285;0;0;0
Pop3;121303701;24.285715;5.7142854;35.714283;170.71429;0;93.110733;159.10715;44.642857;44.999996;17.857141;14.357142;5.3571429;0;28.571432;49.642857;27.142855;0;0;0;0;120.49999;0;0;142.62857;0;11.428573;14.642858;7.5;0;816.51782;191.53929;0;0;0;0;0;0;53.714291;0;0;3.1428573;0;0;0
Pop3;121303801;68.099998;0;23.535713;65.35714;0;34.285713;187.12143;128.57143;7.1428566;0;0;4.3499999;6.107142;0;31.091965;27.142855;0;25;0;0;36.267857;0;83.571426;35.702862;61.42857;3.2142856;2.0467837;0;0;531.30957;42.857147;0;0;261.73926;36.071426;51.428574;0;0;0;42.857147;11.882143;0;0;0
Pop3;121303901;159.08713;0;21.785713;66.071426;0;5.5446429;0;0;52.92857;0;0;0;0;0;37.242859;0;17.142857;28.571426;0;0;166.42857;0;0;77.658577;0;0;10.821429;48.137146;0;1162.0089;147.50002;134.17856;0;546.61963;180.35713;64.285713;0;110.00001;0;42.431549;8.0821428;0;0;0
Pop3;121305401;302.06076;0;0;0;0;84.642853;0;80.35714;7.1428566;89.285713;0;3.0588238;6.9214287;0;0;83.571426;4.2857146;0;0;0;53.214283;26.785713;20.000002;99.605713;24.228571;0;3.2163742;17.039286;0;368.57141;215.23808;124.8;0;521.66663;0;0;0;0;107.14285;101.42857;.35714284;0;0;0
Pop3;121400201;72.178146;0;21.428572;67.85714;0;195.97321;171.66667;196.42856;0;71.428581;16.928572;7.5477128;3.4989035;14.285716;28.571426;0;11.428573;41.071426;0;0;16.724165;0;40.000004;0;0;0;16.200003;20.686405;0;430.35715;77.435722;598.78571;0;0;0;35.714283;0;0;38.214283;92.571434;18.392857;0;0;0
Pop3;121400801;9;0;0;112.14285;0;73.571426;291.34283;35.714291;13.928571;35.714291;0;0;.44107142;0;81.25;0;33.92857;0;0;0;30.07143;21.428574;0;0;0;0;18.928572;0;42.857143;42.857143;166.42856;23.771429;0;96.385712;0;0;15;0;0;10.714286;19.014286;0;0;0
