POPULATION;NOIND;periode_reference;conso_ca;conso_ca_regl;conso_ca_nb;conso_ca_regl_nb;indic_ca;indic_medic;indic_ni;saison_particuliere;saison_automne;saison_hiver;saison_printemps;saison_ete;saison_autre;saison_autre_libelle;saison_nsp
Pop1 Individu;112904301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;112904801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113000501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113000601;4;1;1;2;2;1;1;0;1;;1;;;;                                                            ;
Pop1 Individu;113002001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113002101;4;1;1;2;2;0;0;2;2;;;;;;                                                            ;
Pop1 Individu;113002501;4;1;1;1;1;0;0;1;1;;1;;;;                                                            ;
Pop1 Individu;113100301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113100601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113100801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113101601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113101801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113102201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113103201;4;1;1;1;1;1;0;0;1;;;1;;;                                                            ;
Pop1 Individu;113103701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113104201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113104301;4;1;1;1;1;1;0;0;2;;;;;;                                                            ;
Pop1 Individu;113104701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113200101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113200601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113201201;4;1;1;1;1;0;0;1;1;;1;;;;                                                            ;
Pop1 Individu;113201401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113300201;4;1;1;1;1;1;0;0;1;;1;;;;                                                            ;
Pop1 Individu;113300801;4;1;1;2;2;1;0;1;1;1;;;;;                                                            ;
Pop1 Individu;113301401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113301701;4;1;2;1;;0;1;0;1;1;1;1;1;;                                                            ;
Pop1 Individu;113301801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113302901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113303001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113303801;4;1;1;1;1;1;0;0;2;;;;;;                                                            ;
Pop1 Individu;113304901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113305301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113305601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113306401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113306901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113307301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113307601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113400101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113401301;4;1;2;1;;0;1;0;1;;1;;;;                                                            ;
Pop1 Individu;113401501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113401701;4;1;1;1;1;1;0;0;1;1;;;;;                                                            ;
Pop1 Individu;113401901;4;1;1;3;3;3;0;0;1;1;1;1;;;                                                            ;
Pop1 Individu;113402101;4;1;1;2;2;1;1;0;1;1;;1;;;                                                            ;
Pop1 Individu;113402601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113402701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113403501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113404401;4;1;1;4;4;3;0;1;2;;;;;;                                                            ;
Pop1 Individu;113500201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113500501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113501001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113501101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113501201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113501501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113502201;4;1;2;1;;0;1;0;1;;1;;;;                                                            ;
Pop1 Individu;113502401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113502601;4;1;1;3;3;2;1;0;2;;;;;;                                                            ;
Pop1 Individu;113502901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113503001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113503101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113503301;4;1;1;1;1;1;0;0;1;;;;1;;                                                            ;
Pop1 Individu;113503501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113503601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113504801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113600201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113601201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113601701;4;1;1;3;3;2;1;0;1;1;1;1;;;                                                            ;
Pop1 Individu;113602801;4;1;2;1;;0;1;0;1;;1;;;;                                                            ;
Pop1 Individu;113603201;4;1;2;2;;0;2;0;1;;1;;;;                                                            ;
Pop1 Individu;113604301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113604701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113604801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113605201;4;1;1;1;1;0;0;1;2;;;;;;                                                            ;
Pop1 Individu;113605801;4;1;1;4;4;4;0;0;2;;;;;;                                                            ;
Pop1 Individu;113606001;4;1;1;1;1;0;0;1;2;;;;;;                                                            ;
Pop1 Individu;113700101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113700301;4;1;1;1;1;1;0;0;2;;;;;;                                                            ;
Pop1 Individu;113801001;4;1;1;3;3;2;1;0;2;;;;;;                                                            ;
Pop1 Individu;113801101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113801401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113801701;4;1;1;2;2;2;0;0;1;;1;;;;                                                            ;
Pop1 Individu;113802601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113802801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113802901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113803001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113803301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113803401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113803501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113803701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113804001;4;1;1;1;1;0;0;1;2;;;;;;                                                            ;
Pop1 Individu;113804501;4;1;1;1;1;1;0;0;1;;1;;;;                                                            ;
Pop1 Individu;113804601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113804701;4;1;1;1;1;1;0;0;2;;;;;;                                                            ;
Pop1 Individu;113804801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113805201;4;2;2;;;;;;;;;;;;                                                            ;
